id,nombre_producto,tipo,masa,peso
141,Ike,refrigerado,solida,1201212
142,Belinda,refrigerado,gas,3055124
143,Cyndie,inflamable,solida,2556036
144,Faustine,normal,gas,4861389
145,Petronilla,normal,liquida,5177563
146,Gabrila,refrigerado,gas,4386106
147,Zsazsa,refrigerado,solida,3612435
148,Rosalinde,normal,liquida,8131416
149,Edy,refrigerado,solida,7729336
150,Kellia,refrigerado,solida,8177318
151,Cosette,inflamable,liquida,8415785
152,Stacy,normal,gas,3252515
153,Georgiana,inflamable,gas,6262907
154,Ignacius,refrigerado,liquida,9472236
155,Robena,refrigerado,liquida,8680655
156,Minor,normal,liquida,4200423
157,Matelda,refrigerado,liquida,7704517
158,Morty,inflamable,liquida,3179194
159,Ardith,normal,gas,8307261
160,Gwenneth,refrigerado,liquida,250109
161,Alleyn,normal,solida,8701466
162,Hughie,refrigerado,gas,3091778
163,Brit,normal,solida,2304133
164,Zebedee,normal,liquida,269439
165,Bambie,inflamable,liquida,3806354
166,Torrance,refrigerado,gas,9167378
167,Tommy,inflamable,solida,879399
168,Cullen,inflamable,gas,4503460
169,Derk,refrigerado,solida,4776214
170,Merrile,inflamable,solida,9761779
171,Rancell,inflamable,gas,722665
172,Bobina,refrigerado,gas,2003853
173,Joellyn,inflamable,gas,6341574
174,Lotti,normal,solida,7366406
175,Josh,refrigerado,solida,8755332
176,Audi,normal,gas,208418
177,Edsel,inflamable,gas,2617246
178,Julio,refrigerado,solida,8190121
179,Lorin,normal,gas,4224914
180,Margery,inflamable,liquida,3648472
181,Cassondra,normal,solida,8191995
182,Inigo,refrigerado,solida,6406302
183,Cobb,inflamable,gas,2481858
184,Coralie,refrigerado,solida,6414953
185,Isahella,normal,liquida,7747300
186,Albertina,normal,liquida,3028620
187,Rora,normal,gas,6253722
188,Lisetta,normal,liquida,1940103
189,Katrine,inflamable,liquida,145494
190,Kaycee,inflamable,liquida,1115725
191,Almeta,inflamable,solida,1738231
192,Enoch,refrigerado,liquida,7245265
193,Urbano,refrigerado,gas,3122412
194,Kyle,inflamable,gas,5221918
195,Alane,refrigerado,solida,5786763
196,Aksel,inflamable,solida,3137439
197,Archibald,refrigerado,solida,9322260
198,Jyoti,refrigerado,solida,9473466
199,Verla,inflamable,gas,2169300
